Date,Time,NSP,PAP,PSP,RDU,RP,SDP,SPP,WP
1/7/20,11:00:00 PM,26156,81325,819,25,17993,39324,1225,53834
2/7/20,11:00:00 PM,26159,81435,861,33,18020,39392,1238,54223
3/7/20,11:00:00 PM,26160,81519,896,43,18026,39423,1247,54524
4/7/20,11:00:00 PM,26163,81580,930,61,18041,39461,1261,54732
5/7/20,11:00:00 PM,26163,81696,960,72,18054,39499,1268,54998
6/7/20,11:00:00 PM,26165,81805,990,78,18063,39539,1280,55412
7/7/20,11:00:00 PM,26164,81865,1006,80,18077,39563,1299,55678
8/7/20,11:00:00 PM,26164,81882,1010,81,18078,39564,1299,55717
9/7/20,11:00:00 PM,26164,81920,1031,84,18085,39600,1305,55906
10/7/20,11:00:00 PM,26164,82098,1056,88,18109,39671,1319,56452
11/7/20,11:00:00 PM,26166,82476,1139,97,18134,39794,1324,57859
12/7/20,11:00:00 PM,26163,82679,1199,97,18140,39882,1327,58924
13/7/20,11:00:00 PM,26164,82811,1234,97,18147,39915,1328,59351